,depth-first,breadth-first,astar,weighted_astar_1.2,weighted_astar_1.5,weighted_astar_2,problem_size
0,,0.0007004737854003906,0.00010323524475097656,9.322166442871094e-05,0.00010776519775390625,9.131431579589844e-05,6
1,,0.01432180404663086,0.0003180503845214844,0.0001747608184814453,0.00017380714416503906,0.00019168853759765625,7
2,,0.018902301788330078,0.00014662742614746094,0.000133514404296875,0.00013399124145507812,0.00013184547424316406,8
3,,0.08289432525634766,0.000194549560546875,0.0001747608184814453,0.00017189979553222656,0.00017189979553222656,9
4,,0.3610215187072754,0.0002949237823486328,0.00025916099548339844,0.00025844573974609375,0.00024819374084472656,10
5,,,0.22936105728149414,0.011063337326049805,0.015660762786865234,0.00264739990234375,20
6,,,11.219174861907959,0.02197098731994629,0.006390810012817383,0.006228208541870117,30
7,,,5.793616533279419,0.020166635513305664,0.012754678726196289,0.012928962707519531,40
8,,,,0.05038905143737793,0.032453298568725586,0.021413087844848633,45
9,,,,0.09274077415466309,0.02984905242919922,0.04368400573730469,50
